iter	Passed	Remaining
0	2448	976872
1	4292	854166
2	5363	709766
3	6542	647716
4	7419	586126
5	8060	529321
6	8469	475502
7	9041	443040
8	9648	419186
9	10357	403932
10	11011	389411
11	11881	384170
12	12636	376170
13	13382	368984
14	13799	354195
15	14442	346609
16	14769	332750
17	16645	353261
18	18504	371071
19	19872	377574
20	21570	389300
21	22703	390086
22	23437	384168
23	24117	377842
24	24919	373788
25	25582	367998
26	26157	361366
27	26868	356969
28	27552	352481
29	28320	349287
30	29148	346966
31	29837	343132
32	30651	340886
33	31525	339358
34	32253	336358
35	33000	333676
36	33757	331192
37	34511	328766
38	35249	326281
39	35973	323759
40	36417	318875
41	37113	316351
42	37910	314744
43	38774	313719
44	39583	312273
45	40444	311249
46	41250	309819
47	42097	308716
48	42944	307622
49	43716	306013
50	44505	304560
51	45334	303389
52	46161	302228
53	46947	300814
54	47830	300030
55	48625	298697
56	49417	297374
57	50134	295623
58	50973	294612
59	51675	292826
60	52554	292063
61	53360	290898
62	54114	289471
63	54930	288383
64	55646	286794
65	56296	284894
66	57010	283350
67	57815	282275
68	58745	281805
69	59702	281453
70	60615	280879
71	61506	280194
72	62459	279786
73	63225	278533
74	63904	276918
75	64606	275426
76	65417	274415
77	65917	272118
78	66520	270290
79	67453	269814
80	68324	269081
81	69147	268158
82	69997	267341
83	70740	266117
84	71124	263578
85	71989	262844
86	72843	262068
87	73782	261592
88	74716	261087
89	75901	261437
90	77136	261926
91	78107	261490
92	79024	260867
93	79863	259981
94	80846	259560
95	81845	259177
96	81972	256059
97	82586	254500
98	83408	253594
99	84264	252793
100	84947	251479
101	85694	250361
102	86187	248522
103	86942	247452
104	87704	246408
105	88619	245793
106	89206	244275
107	90099	243603
108	91099	243209
109	91563	241395
110	92392	240553
111	93232	239739
112	93984	238703
113	94845	237945
114	95687	237139
115	96606	236518
116	97484	235796
117	98387	235129
118	99259	234386
119	100011	233359
120	100839	232513
121	101683	231705
122	102364	230528
123	102541	228236
124	103365	227403
125	104192	226576
126	104663	224985
127	105621	224444
128	106502	223737
129	107320	222896
130	108174	222128
131	108878	221055
132	109741	220307
133	110536	219424
134	111453	218779
135	112317	218028
136	113150	217215
137	113955	216350
138	114605	215193
139	115363	214245
140	116154	213362
141	116884	212367
142	117667	211471
143	118450	210577
144	119092	209438
145	119517	207927
146	120098	206700
147	121020	206061
148	121837	205242
149	122064	203441
150	123016	202854
151	123592	201651
152	124288	200648
153	125146	199910
154	125278	198020
155	126019	197106
156	126251	195407
157	126920	194396
158	127857	193795
159	128234	192351
160	129105	191653
161	129350	190033
162	130149	189235
163	130575	187901
164	131359	187087
165	131721	185679
166	132195	184441
167	132906	183537
168	133358	182282
169	134157	181507
170	135017	180812
171	135891	180135
172	136544	179165
173	137217	178225
174	137435	176702
175	137564	175082
176	138264	174197
177	139005	173366
178	139705	172485
179	140422	171627
180	140777	170332
181	141640	169657
182	142382	168836
183	143082	167966
184	143867	167197
185	144506	166259
186	145160	165343
187	145797	164410
188	146367	163405
189	147162	162653
190	148003	161951
191	148822	161224
192	149159	159979
193	149988	159265
194	150923	158663
195	151689	157881
196	152465	157109
197	153234	156329
198	154008	155556
199	154370	154370
200	155168	153624
201	155951	152863
202	156076	151463
203	156833	150683
204	157672	149980
205	158526	149291
206	159192	148426
207	160008	147700
208	160130	146339
209	160954	145625
210	161696	144837
211	162567	144163
212	163383	143439
213	164198	142714
214	165012	141987
215	165412	140907
216	166280	140227
217	166832	139281
218	167645	138556
219	168499	137862
220	168903	136804
221	169728	136088
222	170395	135246
223	171115	134447
224	171235	133183
225	171967	132399
226	172681	131602
227	173431	130834
228	174512	130313
229	175431	129666
230	175780	128601
231	176571	127861
232	177460	127192
233	177895	126199
234	178524	125346
235	179267	124575
236	179651	123557
237	180402	122795
238	181305	122134
239	181962	121308
240	182930	120688
241	183853	120036
242	184201	119010
243	184961	118254
244	185614	117429
245	186323	116641
246	187280	116008
247	188060	115263
248	188943	114580
249	189662	113797
250	190380	113014
251	191124	112247
252	191973	111541
253	192837	110843
254	193752	110172
255	194678	109506
256	195372	108709
257	195868	107803
258	196663	107063
259	196886	106015
260	197815	105349
261	198541	104575
262	199360	103849
263	200168	103117
264	200421	102101
265	200652	101080
266	201529	100387
267	202173	99578
268	203153	98933
269	203510	97986
270	204365	97280
